MD,FACIES,CNL,CPOR,DENS,GR,KAH,LL9D,NEU,RT,SONI,CAT,LOGKAH
10612,2,19.816,26.1,2.209,91.05,1500,39.431,0.19816,51.73866,89.033,2,3.176091259
10613,2,19.91,27.6,2.177,90.248,810,39.435,0.1991,51.00208,88.641,1,2.908485019
10613.5,2,19.958,26.1,2.181,89.869,1400,39.437,0.19958,51.29921,87.461,2,3.146128036
10614.5,2,21.139,25.1,2.193,92.231,1000,31.73,0.21139,41.18079,85.101,1,3
10615.5,2,21.375,26.2,2.206,93.412,2200,27.448,0.21375,35.14534,84.708,2,3.342422681
10616.5,3,21.3,16.9,2.214,91.05,6.7,26.474,0.213,34.91182,89.239,1,0.826074803
10617.5,2,19.916,26.3,2.206,89.869,1600,29.52,0.19916,40.01793,91.717,2,3.204119983
10618,3,19.721,27.6,2.183,91.759,1700,38.054,0.19721,49.44392,92.195,1,3.230448921
10619,3,20.832,26.9,2.173,91.759,1000,56.716,0.20832,71.31447,91.41,2,3
10620,3,22.32,27,2.158,89.869,1900,73.113,0.2232,89.20987,91.018,1,3.278753601
10621,3,21.611,24.6,2.162,92.858,910,92.563,0.21611,111.9372,91.414,2,2.959041392
10622,3,21.068,25.9,2.159,96.135,1100,97.745,0.21068,117.5993,91.415,1,3.041392685
10623,3,21.375,27.2,2.151,96.333,1700,101.368,0.21375,122.2264,90.236,2,3.230448921
10624,3,22.084,26.9,2.153,92.94,1300,103.237,0.22084,126.2109,87.875,1,3.113943352
10625,2,21.848,27.5,2.162,91.759,1900,81.568,0.21848,100.6982,85.514,2,3.278753601
10626,3,21.233,26.7,2.176,90.138,2200,63.288,0.21233,78.70767,87.88,1,3.342422681
10626.5,3,21.233,23,2.185,89.396,1100,58.863,0.21233,73.37346,89.061,2,3.041392685
10627.5,2,20.666,20.8,2.199,88.687,240,49.106,0.20666,61.80759,88.738,1,2.380211242
10628.5,2,20.666,26.5,2.187,87.929,1200,36.745,0.20666,46.7889,87.49,2,3.079181246
10629,2,20.545,27.2,2.176,87.506,1300,33.519,0.20545,43.78713,86.306,1,3.113943352
10630.5,2,21.139,27.4,2.182,88.363,2000,26.518,0.21139,35.03683,84.344,2,3.301029996
10631,2,21.848,26.7,2.185,88.687,1600,25.116,0.21848,33.4702,84.509,1,3.204119983
10632,2,22.556,23,2.209,91.759,380,23.294,0.22556,31.25115,84.556,2,2.579783597
10633,2,21.4,25.6,2.244,88.687,530,23.802,0.214,32.31279,81.199,1,2.72427587
10634,2,20.194,21.6,2.232,85.144,120,28.526,0.20194,39.12156,78.839,2,2.079181246
10635,2,20.06,24.7,2.228,85.852,1500,30.675,0.2006,41.43631,80.022,1,3.176091259
10636,2,19.579,23.5,2.235,83.962,750,24.68,0.19579,33.88916,80.418,2,2.875061263
10637,2,19.343,23.5,2.251,85.474,620,19.382,0.19343,27.45221,78.845,1,2.792391689
10638,2,19.958,22.8,2.268,88.215,320,13.818,0.19958,21.12559,78.059,2,2.505149978
10639,2,19.76,23.7,2.256,89.869,780,12.395,0.1976,19.11484,76.88,1,2.892094603
10640,1,19.485,23,2.285,86.325,670,11.529,0.19485,18.51637,75.881,2,2.826074803
10641,1,19.674,20.7,2.298,85.852,380,11.531,0.19674,17.98493,74.521,1,2.579783597
10642.5,1,18.171,19.2,2.344,92.231,2700,13.825,0.18171,21.98324,73.309,2,3.431363764
10643,1,17.595,16.5,2.342,92.769,27,15.138,0.17595,24.99509,74.525,1,1.431363764
10643.5,1,17.337,27.1,2.357,93.412,1600,15.416,0.17337,24.57244,77.677,2,3.204119983
10644.5,1,16.414,20.5,2.355,98.137,69,15.419,0.16414,22.31887,82.797,1,1.838849091
10645.5,2,17.054,25.7,2.323,100.105,400,16.58,0.17054,25.62052,86.755,2,2.602059991
10646.5,2,17.595,18.4,2.254,96.956,73,19.171,0.17595,28.90645,85.126,1,1.86332286
10647.5,2,19.088,27.9,2.208,92.797,1000,22.985,0.19088,31.20227,83.59,2,3
10648.5,2,19.958,25.7,2.21,91.759,750,27.063,0.19958,36.0839,80.836,1,2.875061263
10649.5,2,21.455,23.6,2.214,92.94,530,29.634,0.21455,39.60567,84.382,2,2.72427587
10650.5,2,22.178,22,2.241,95.775,270,27.565,0.22178,37.14423,90.487,1,2.431363764
10651.5,2,21.179,21.3,2.245,101.681,290,23.845,0.21179,33.10711,91.867,2,2.462397998
10652.5,3,22.556,24.3,2.207,106.406,320,19.893,0.22556,26.96348,90.688,1,2.505149978
10653.5,3,23.784,26,2.199,105.678,560,17.524,0.23784,23.84579,91.083,2,2.748188027
10654.5,3,23.265,26.9,2.194,105.225,440,16.598,0.23265,22.22011,90.298,1,2.643452676
10655.5,3,21.942,25,2.196,99.319,500,19.542,0.21942,25.78131,90.3,2,2.698970004
10656.5,3,22.415,25.2,2.198,97.451,250,26.602,0.22415,34.82164,92.384,1,2.397940009
10657.5,3,21.848,25.5,2.189,96.956,680,34.295,0.21848,44.12202,91.878,2,2.832508913
10658,3,22.035,27.1,2.18,96.956,1000,36.877,0.22035,46.53801,89.911,1,3
10659,2,22.109,29.6,2.17,98.137,1500,39.654,0.22109,50.27555,85.975,2,3.176091259
10660,2,21.139,24.3,2.165,98.137,500,36.222,0.21139,46.52839,84.796,1,2.698970004
10661,2,20.288,25,2.183,95.674,1100,29.676,0.20288,39.67477,85.192,2,3.041392685
10662,2,19.954,24.7,2.194,93.412,940,26.62,0.19954,35.77505,85.982,1,2.973127854
10662.5,2,19.721,23.7,2.198,94.151,810,26.621,0.19721,36.13692,85.983,2,2.908485019
10663.5,2,20.052,27.5,2.198,95.775,1400,22.209,0.20052,30.03462,86.913,1,3.146128036
10664.5,2,19.958,21.4,2.208,95.944,270,18.528,0.19958,25.47005,87.955,2,2.431363764
10666,2,19.107,29.5,2.223,96.484,2800,17.871,0.19107,25.26102,88.352,1,3.447158031
10666.5,2,19.4,26.4,2.205,96.484,1600,18.533,0.194,26.23473,89.723,2,3.204119983
10667,2,19.934,23.7,2.189,96.484,430,19.219,0.19934,26.68706,91.11,1,2.633468456
10668.5,3,21.226,24.4,2.165,98.846,620,18.537,0.21226,26.74805,92.688,2,2.792391689
10669.5,3,21.942,24.5,2.178,98.137,560,15.465,0.21942,22.30378,90.96,1,2.748188027
10670,3,22.089,23.5,2.181,97.846,400,13.872,0.22089,19.95034,89.934,2,2.602059991
10671.5,3,23.046,24.9,2.19,94.594,300,12.904,0.23046,18.19036,90.186,1,2.477121255
10672,3,22.887,26.5,2.199,95.366,780,12.201,0.22887,17.41664,90.726,2,2.892094603
10673,2,21.269,30.6,2.216,98.633,1600,10.012,0.21269,14.47348,88.287,1,3.204119983
10674.5,2,20.761,24,2.239,99.319,250,11.369,0.20761,17.18408,82.856,2,2.397940009
10675.5,2,20.761,20.2,2.256,95.775,140,14.925,0.20761,22.01065,86.008,1,2.146128036
10676.5,2,21.375,21,2.273,94.121,90,19.24,0.21375,29.26002,89.947,2,1.954242509
10677.5,2,21.706,21.6,2.247,100.5,240,20.691,0.21706,28.6093,90.935,1,2.380211242
10678.5,3,21.848,25.6,2.192,96.956,370,25.723,0.21848,34.31866,89.952,2,2.568201724
10679.5,2,21.848,25.2,2.187,92.231,850,26.676,0.21848,35.11902,86.016,1,2.929418926
10680.5,2,21.669,21,2.211,92.231,270,23.076,0.21669,29.62618,84.442,2,2.431363764
10681.5,2,20.903,27.3,2.244,90.268,1800,28.69,0.20903,37.05397,87.595,1,3.255272505
10682.5,2,19.485,22.9,2.252,91.05,620,28.694,0.19485,37.94101,84.841,2,2.792391689
10683.5,2,19.579,23.8,2.225,89.869,650,30.485,0.19579,38.64459,86.812,1,2.812913357
10684,2,19.864,27.1,2.211,86.325,1600,34.404,0.19864,44.06176,87.993,2,3.204119983
10685.5,2,20.288,23.5,2.215,89.869,970,47.691,0.20288,60.84943,90.753,1,2.986771734
10686,3,21.257,21.7,2.192,91.639,590,40.758,0.21257,51.73323,90.754,2,2.770852012
10687,3,21.848,26.7,2.156,93.951,1700,35,0.21848,44.58343,91.544,1,3.230448921
10688,3,21.375,25.5,2.171,95.775,1200,35.692,0.21375,45.49577,91.939,2,3.079181246
10689,3,22.117,19.5,2.179,95.775,190,37.303,0.22117,48.1589,87.61,1,2.278753601
10690,2,22.651,28.6,2.16,92.94,2400,39.804,0.22651,51.70221,83.674,2,3.380211242
10691,2,21.706,22.8,2.164,92.94,1000,44.385,0.21706,57.28098,85.251,1,3
10692,2,20.43,21.8,2.188,90.976,530,32.028,0.2043,42.81414,82.891,2,2.72427587
10693,2,20.495,24.2,2.192,90.604,1100,26.72,0.20495,35.12387,82.499,1,3.041392685
10694,2,20.43,24.3,2.223,89.099,970,24.5,0.2043,33.95771,88.014,2,2.986771734
10695,2,20.194,27.4,2.242,86.63,2200,24,0.20194,32.97341,89.196,1,3.342422681
10695.5,2,20.666,27.7,2.227,86.325,3100,24.5,0.20666,34.01506,89.985,2,3.491361694
10696.5,2,20.761,26.2,2.204,91.05,1900,24.86,0.20761,34.26305,89.326,1,3.278753601
10698,2,20.43,16.1,2.191,85.852,6.5,13.102,0.2043,18.5516,84.477,2,0.812913357
10698.5,2,20.194,24.8,2.186,87.506,780,11.198,0.20194,16.0248,82.904,1,2.892094603
10699.5,2,18.578,25,2.215,96.484,980,10.044,0.18578,14.32368,85.661,2,2.991226076
10701,2,18.835,19.7,2.272,96.116,120,9.343,0.18835,13.87984,85.857,1,2.079181246
10701.5,2,19.012,21.1,2.272,95.775,93,9.344,0.19012,14.17881,83.691,2,1.968482949
10702,2,19.182,24.7,2.264,95.775,1900,9.573,0.19182,13.41309,82.509,1,3.278753601
10703.5,2,19.485,24.4,2.273,96.131,790,14.442,0.19485,20.50679,83.687,2,2.897627091
10704.5,2,19.485,25.6,2.29,92.231,750,20.758,0.19485,29.55601,89.197,1,2.875061263
10705.5,2,20.489,24.6,2.24,90.896,280,27.748,0.20489,37.70556,91.951,2,2.447158031
10706.5,3,21.695,26.4,2.187,94.329,790,29.303,0.21695,38.71859,91.162,1,2.897627091
10707,3,22.084,25.4,2.163,96.484,530,25.348,0.22084,33.21484,90.649,2,2.72427587
10708,3,22.732,25.7,2.184,93.412,790,18.626,0.22732,24.75313,90.109,1,2.897627091
10709,3,22.487,21.5,2.196,92.94,270,18.628,0.22487,24.2852,89.189,2,2.431363764
10710,3,21.691,25.5,2.196,89.869,1200,21.539,0.21691,27.90338,87.709,1,3.079181246
10711,2,21.004,25.2,2.206,91.05,980,26.778,0.21004,34.8502,86.822,2,2.991226076
10712,2,20.451,25.9,2.225,92.747,1300,34.813,0.20451,44.67014,86.82,1,3.113943352
10712.5,2,20.288,27.3,2.233,94.121,1300,41.386,0.20288,54.09472,89.182,2,3.113943352
10713.5,2,20.761,28.6,2.215,96.956,1300,57.368,0.20761,72.1154,91.141,1,3.113943352
10714.5,3,21.693,28.9,2.168,95.46,2800,53.358,0.21693,67.37798,92.37,2,3.447158031
10715.5,3,22.178,28.6,2.16,96.172,2400,51.466,0.22178,64.70205,92.719,1,3.380211242
10716,3,22.556,27.8,2.158,96.484,2100,49.635,0.22556,62.10024,93.113,2,3.322219295
10717,3,22.722,27.5,2.129,93.412,1800,42.167,0.22722,52.53065,92.526,1,3.255272505
10718.5,3,23.84,27.5,2.119,89.869,1500,42.173,0.2384,53.11047,90.351,2,3.176091259
10719.5,3,23.359,29.2,2.124,96.879,1700,46.181,0.23359,59.45113,89.562,1,3.230448921
10720.5,3,23.092,25.5,2.128,99.182,750,35.832,0.23092,46.46234,90.347,2,2.875061263
10721,3,22.895,27.5,2.137,99.319,1100,30.623,0.22895,40.12099,88.771,1,3.041392685
10722,3,22.792,26.5,2.146,99.319,1300,25.859,0.22792,33.80699,87.588,2,3.113943352
10723,3,21.848,25.7,2.174,97.457,680,30.631,0.21848,40.1711,89.555,1,2.832508913
10724,3,21.375,24.9,2.194,93.947,1800,29.902,0.21375,38.60208,88.291,2,3.255272505
10725,2,21.117,26.9,2.201,91.413,2000,28.841,0.21117,37.72689,87.339,1,3.301029996
10726,2,20.997,27,2.182,89.844,1400,31.014,0.20997,41.21533,87.58,2,3.146128036
10727,3,22.338,24.1,2.173,87.438,370,28.33,0.22338,39.03412,87.185,1,2.568201724
10728,2,22.32,18.9,2.198,86.325,250,23.21,0.2232,31.38432,81.538,2,2.397940009
10729,2,20.524,24.9,2.226,85.169,1400,20.819,0.20524,28.55029,81.5,1,3.146128036
10730,2,20.158,25.8,2.275,84.163,1000,24.073,0.20158,31.89223,86.784,2,3
10731,2,20.288,27.5,2.221,83.129,1400,26.843,0.20288,37.53465,88.418,1,3.146128036
10732,3,21.566,25.8,2.203,78.765,1500,23.221,0.21566,31.55819,88.749,2,3.176091259
10732.5,3,21.848,28,2.196,76.875,1500,23.222,0.21848,31.988,88.527,1,3.176091259
10734,3,21.611,27,2.162,76.875,1300,26.853,0.21611,36.27081,87.958,2,3.113943352
10735,3,23.265,27.7,2.169,78.056,1200,27.847,0.23265,36.41734,88.743,1,3.079181246
10735.5,3,23.673,29,2.166,77.584,2600,24.529,0.23673,32.40677,88.858,2,3.414973348
10737,3,24.21,28.5,2.157,76.572,2700,19.827,0.2421,25.80358,90.535,1,3.431363764
10738,3,23.737,27.6,2.153,75.694,1300,20.842,0.23737,27.75761,88.738,2,3.113943352
10739,3,23.125,27.6,2.161,77.584,1800,35.395,0.23125,45.4213,86.767,1,3.255272505
10739.5,2,22.792,25.5,2.169,77.372,1100,52.243,0.22792,66.68913,85.191,2,3.041392685
10740.5,2,21.855,26.9,2.177,76.886,1400,61.884,0.21855,78.00523,85.36,1,3.146128036
10741.5,2,21.611,25.1,2.186,77.584,710,56.527,0.21611,71.4856,85.84,2,2.851258349
10742.5,2,21.46,24.9,2.168,76.747,880,43.07,0.2146,55.21292,84.791,1,2.944482672
10743.5,2,21.139,25.5,2.194,80.419,980,31.081,0.21139,40.54977,84.396,2,2.991226076
10744.5,2,21.029,26.3,2.219,80.419,680,25.006,0.21029,33.51679,83.606,1,2.832508913
10745.5,2,20.54,22.8,2.224,80.419,390,18.71,0.2054,26.4383,84.785,2,2.591064607
10747,2,20.524,24.7,2.216,80.419,810,13.503,0.20524,19.51395,84.783,1,2.908485019
10748,2,20.666,18.6,2.223,84.106,110,12.56,0.20666,17.90881,83.402,2,2.041392685
10749.5,2,18.068,20,2.276,92.94,39,13.025,0.18068,18.40336,78.478,1,1.591064607
10750,2,18.068,21.8,2.279,94.121,160,13.507,0.18068,19.40729,78.477,2,2.204119983
10751,2,18.871,25.2,2.28,93.412,320,14.525,0.18871,21.6275,79.262,1,2.505149978
10752,2,19.721,23,2.31,91.759,250,14.527,0.19721,21.71404,77.897,2,2.397940009
10753,2,19.402,19.4,2.315,91.05,56,13.513,0.19402,26.23181,77.6,1,1.748188027
10754.5,2,19.721,24.5,2.276,93.766,280,13.034,0.19721,19.6695,84.768,2,2.447158031
10756,2,21.139,25.2,2.232,91.759,680,13.261,0.21139,18.70543,85.158,1,2.832508913
10756.5,2,21.706,21.9,2.221,90.338,190,13.518,0.21706,19.04163,82.401,2,2.278753601
10757.5,2,21.848,22.4,2.224,89.035,690,17.427,0.21848,23.88434,82.006,1,2.838849091
10758.5,2,20.524,26.1,2.226,89.636,1700,23.722,0.20524,32.36496,86.729,2,3.230448921
10759.5,2,20.755,24.9,2.178,89.869,630,30.032,0.20755,41.32261,87.877,1,2.799340549
10760.5,2,20.902,20.1,2.193,82.781,66,23.301,0.20902,31.50014,83.033,2,1.819543936
10761.5,2,20.43,17.3,2.222,82.309,85,16.216,0.2043,22.22171,81.998,1,1.929418926
10762.5,2,19.816,22.7,2.247,83.962,200,17.438,0.19816,23.48897,86.327,2,2.301029996
10763.5,2,20.524,25.7,2.238,87.506,950,20.907,0.20524,28.28326,88.491,1,2.977723605
10764.5,2,20.715,23.3,2.196,87.506,170,18.085,0.20715,25.20504,89.079,2,2.230448921
10765.5,2,20.194,24.9,2.218,87.506,880,14.551,0.20194,19.84362,88.289,1,2.944482672
10766.5,2,20.902,27.5,2.227,87.506,1200,14.438,0.20902,20.05759,89.939,2,3.079181246
10767,2,21.125,27.1,2.226,87.319,1000,15.091,0.21125,21.02551,90.65,1,3
10768,3,21.537,26.6,2.188,84.553,1000,15.65,0.21537,21.68183,87.891,2,3
10769,2,21.706,24,2.173,79.237,930,18.095,0.21706,25.60424,84.49,1,2.968482949
10770,2,21.375,23.8,2.185,80.837,700,18.766,0.21375,26.54963,82.768,2,2.84509804
10771,2,20.43,24.8,2.215,81.682,840,18.1,0.2043,25.82573,85.523,1,2.924279286
10772,2,20.652,27.3,2.228,78.423,1400,18.102,0.20652,25.08431,86.308,2,3.146128036
10773,2,20.761,24.1,2.215,76.183,630,18.104,0.20761,25.21533,84.337,1,2.799340549
10774,2,20.194,24,2.222,75.694,660,20.209,0.20194,28.00067,82.76,2,2.819543936
10775,2,19.89,22.7,2.219,80.722,430,21.885,0.1989,30.02978,83.939,1,2.633468456
10775.5,2,19.958,26.3,2.223,83.962,1300,22.512,0.19958,30.89493,85.12,2,3.113943352
10777,3,21.375,26.2,2.208,89.869,1400,23.348,0.21375,32.14192,88.267,1,3.146128036
10778,3,21.758,24.9,2.191,86.325,660,24.212,0.21758,33.56591,89.446,2,2.819543936
10778.5,3,21.848,26.4,2.188,83.962,1100,23.352,0.21848,32.37206,89.839,1,3.041392685
10779.5,3,22.792,25.6,2.179,82.781,990,21.72,0.22792,30.05795,89.019,2,2.995635195
10780.5,3,22.792,26.3,2.188,82.781,1300,20.16,0.22792,27.90664,88.654,1,3.113943352
10781.5,3,22.523,27.4,2.183,82.781,720,19.486,0.22523,27.19631,90.227,2,2.857332496
10782.5,3,23.501,24.1,2.181,84.671,100,19.489,0.23501,27.04267,90.619,1,2
10783.5,3,23.832,27.3,2.182,88.215,1200,18.128,0.23832,25.52108,90.449,2,3.079181246
10784.5,3,24.132,26,2.179,85.144,650,16.624,0.24132,23.26408,90.02,1,2.812913357
10785,3,24.031,26.8,2.174,83.944,1400,16.261,0.24031,23.07073,89.826,2,3.146128036
10786,3,23.588,26.7,2.181,82.309,950,14.821,0.23588,21.00998,90.611,1,2.977723605
10787,3,23.207,27.8,2.178,79.946,1200,14.589,0.23207,20.67924,90.61,2,3.079181246
10788,3,22.819,27.5,2.195,80.688,1500,14.894,0.22819,21.02339,89.426,1,3.176091259
10789,3,22.084,26.5,2.21,82.037,1000,16.27,0.22084,23.21098,90.212,2,3
10790,3,22.415,27.7,2.201,80.419,1600,17.495,0.22415,25.14605,90.998,1,3.204119983
10791.5,3,23.499,27.8,2.175,80.419,1400,18.145,0.23499,26.10284,90.601,2,3.146128036
10792.5,3,23.029,26.8,2.166,82.781,910,18.147,0.23029,26.1318,90.993,1,2.959041392
10793.5,3,23.029,28.1,2.171,84.37,1500,15.701,0.23029,22.55497,90.991,2,3.176091259
10794,3,23.207,28.8,2.172,87.034,1600,14.339,0.23207,20.52129,90.99,1,3.204119983
10795,3,23.476,23.1,2.173,86.325,69,12.631,0.23476,18.22573,90.988,2,1.838849091
10796,3,23.909,27.9,2.161,85.144,1300,12.182,0.23909,17.72301,91.379,1,3.113943352
10797,3,24.446,28.1,2.164,86.572,1100,11.995,0.24446,17.45334,91.771,2,3.041392685
10798,3,23.359,26.1,2.157,87.506,260,10.54,0.23359,15.08897,91.769,1,2.414973348
10799,3,23.265,24.6,2.169,89.869,200,9.267,0.23265,13.41814,90.587,2,2.301029996
10799.5,3,23.265,22.6,2.181,91.759,150,8.794,0.23265,12.92398,90.381,1,2.176091259
10800.5,3,22.792,25.7,2.189,91.05,430,8.179,0.22792,12.44533,89.747,2,2.633468456
10802,3,21.848,27.1,2.19,89.869,250,8.179,0.21848,12.48777,87.43,1,2.397940009
10803,3,21.848,19.4,2.201,92.231,26,8.481,0.21848,12.63123,88.807,2,1.414973348
10804,3,22.084,27.6,2.215,93.412,850,9.119,0.22084,14.28842,92.545,1,2.929418926
10805,3,24.446,27.1,2.179,91.05,630,9.456,0.24446,14.39156,91.756,2,2.799340549
10806,3,24.682,27.1,2.191,87.506,900,6.823,0.24682,10.79025,88.604,1,2.954242509
10807,3,24.446,24.1,2.217,89.869,250,5.795,0.24446,8.88951,88.996,2,2.397940009
10958,1,17.122,17.1,2.33,82.781,98,0.501,0.17122,0.5088,77.394,1,1.991226076
10959,1,18.068,18.1,2.333,86.325,260,0.483,0.18068,0.49039,77.319,2,2.414973348
10960,1,18.54,16.2,2.347,84.75,47,0.403,0.1854,0.38,76.213,1,1.672097858
10961,1,18.776,13.5,2.31,83.962,4.8,0.389,0.18776,0.31923,75.425,2,0.681241237
10962,2,18.776,20.6,2.298,87.506,98,0.403,0.18776,0.36561,78.181,1,1.991226076
10963,2,18.304,22.1,2.293,89.462,380,0.418,0.18304,0.44951,80.604,2,2.579783597
10963.5,2,18.549,18.8,2.291,89.869,250,0.418,0.18549,0.44951,80.937,1,2.397940009
10964.5,2,19.249,18.9,2.277,96.956,180,0.375,0.19249,0.37972,80.15,2,2.255272505
10965.5,2,19.485,22.1,2.268,98.137,270,0.336,0.19485,0.30917,78.205,1,2.431363764
10966.5,2,20.194,22.6,2.26,92.231,270,0.343,0.20194,0.29834,75.819,2,2.431363764
10967.5,2,19.729,21.4,2.276,93.412,270,0.403,0.19729,0.38217,78.181,1,2.431363764
10968.5,2,19.249,20.8,2.318,93.412,120,0.449,0.19249,0.4832,79.756,2,2.079181246
10969,2,19.721,22.9,2.312,91.05,220,0.403,0.19721,0.40845,79.756,1,2.342422681
10970,2,19.804,17.9,2.288,88.687,31,0.375,0.19804,0.37972,79.756,2,1.491361694
10971,2,19.485,19.5,2.292,92.832,41,0.349,0.19485,0.32405,78.181,1,1.612783857
10972,2,19.11,21.7,2.292,101.091,270,0.349,0.1911,0.29773,77.787,2,2.431363764
10973,2,19.249,22.8,2.301,113.494,330,0.379,0.19249,0.3109,78.969,1,2.51851394
10974,2,19.721,21.2,2.335,102.862,220,0.449,0.19721,0.4832,81.725,2,2.342422681
10975,2,20.194,23.4,2.321,95.775,330,0.368,0.20194,0.39511,78.969,1,2.51851394
10976,2,20.285,17.4,2.318,111.722,51,0.324,0.20285,0.29421,75.819,2,1.707570176
10977,2,20.784,22.8,2.371,119.4,250,0.336,0.20784,0.22715,76.154,1,2.397940009
10977.5,2,21.093,22.5,2.397,118.219,430,0.389,0.21093,0.30488,76.606,2,2.633468456
10978.5,2,21.375,22.1,2.374,108.769,270,0.483,0.21375,0.4904,76.213,1,2.431363764
10980,2,20.43,16.4,2.345,98.137,27,0.424,0.2043,0.41372,76.606,2,1.431363764
10980.5,2,20.302,20.4,2.343,104.044,85,0.418,0.20302,0.38214,79.363,1,1.929418926
10981.5,2,19.485,22.7,2.349,121.762,270,0.418,0.19485,0.41248,81.725,2,2.431363764
10982.5,2,20.902,19.7,2.337,127.669,16,0.375,0.20902,0.36223,79.363,1,1.204119983
10983.5,2,21.375,20.6,2.341,109.95,270,0.362,0.21375,0.3289,75.425,2,2.431363764
10984.5,2,21.139,21.9,2.324,88.392,110,0.362,0.21139,0.26976,75.031,1,2.041392685
10985.5,2,19.131,18.1,2.331,74.512,91,0.433,0.19131,0.40298,76.606,2,1.959041392
10986.5,1,19.012,22.4,2.324,74.512,63,0.433,0.19012,0.43921,76.213,1,1.799340549
10987.5,2,19.012,16.1,2.318,78.056,74,0.403,0.19012,0.37457,77.787,2,1.86923172
10988.5,2,18.776,21.1,2.329,79.237,240,0.389,0.18776,0.34736,77.998,1,2.380211242
10989.5,2,18.776,19.5,2.313,68.606,160,0.403,0.18776,0.40836,77.394,2,2.204119983
10990.5,2,19.012,19,2.306,82.781,98,0.389,0.19012,0.37799,78.192,1,1.991226076
10991.5,2,19.839,21.1,2.292,80.419,110,0.362,0.19839,0.30103,80.393,2,2.041392685
10992,2,20.158,23,2.291,80.419,300,0.375,0.20158,0.33362,80.937,1,2.477121255
10993,2,20.666,18.3,2.266,85.144,7.2,0.375,0.20666,0.37972,80.15,2,0.857332496
10994,2,21.139,20.1,2.27,96.956,130,0.349,0.21139,0.33905,80.544,1,2.113943352
10995,2,20.666,21.4,2.279,106.406,29,0.324,0.20666,0.28739,82.512,2,1.462397998
10996,2,21.139,21.7,2.286,108.769,160,0.324,0.21139,0.29649,82.906,1,2.204119983
10997,2,21.427,22.6,2.267,101.091,220,0.313,0.21427,0.28707,79.756,2,2.342422681
10998,2,20.804,19.1,2.262,99.319,170,0.291,0.20804,0.21748,77,1,2.230448921
10999,2,20.666,23.6,2.286,94.003,250,0.302,0.20666,0.19776,78.257,2,2.397940009
11000,2,20.194,25.7,2.296,81.6,850,0.345,0.20194,0.24538,78.181,1,2.929418926
11000.5,2,19.958,23.9,2.306,79.238,510,0.368,0.19958,0.3169,77.738,2,2.707570176
11001.5,2,19.721,20.9,2.293,85.734,160,0.382,0.19721,0.37575,76.822,1,2.204119983
11002.5,2,19.485,22.5,2.295,96.366,280,0.375,0.19485,0.32786,77,2,2.447158031
11004,2,20.543,21.7,2.295,109.359,120,0.403,0.20543,0.37569,79.756,1,2.079181246
11004.5,2,20.666,20.8,2.313,117.038,200,0.418,0.20666,0.42125,78.575,2,2.301029996
11005.5,2,21.021,18.8,2.338,125.306,33,0.382,0.21021,0.326,76.389,1,1.51851394
11006.5,2,21.565,18.3,2.372,113.494,60,0.362,0.21565,0.24193,75.425,2,1.77815125
11007.5,2,20.194,23.3,2.385,94.594,710,0.418,0.20194,0.34918,74.244,1,2.851258349
11008.5,2,19.039,19.6,2.355,88.687,120,0.418,0.19039,0.30597,77.197,2,2.079181246
11009,2,18.54,20.9,2.339,87.506,130,0.433,0.1854,0.3474,79.363,1,2.113943352
11010,2,19.958,16,2.304,83.963,56,0.449,0.19958,0.48321,81.331,2,1.748188027
11011,2,20.902,16.1,2.259,82.781,47,0.362,0.20902,0.36456,81.331,1,1.672097858
11012.5,2,20.194,20.1,2.257,83.963,380,0.302,0.20194,0.26165,80.415,2,2.579783597
11014,2,19.721,21,2.239,85.144,250,0.302,0.19721,0.23904,80.15,1,2.397940009
11014.5,2,19.249,23.9,2.239,85.144,690,0.302,0.19249,0.23179,80.15,2,2.838849091
11015.5,2,19.721,20.1,2.262,89.869,170,0.302,0.19721,0.19899,77.787,1,2.230448921
11016.5,2,19.249,24.7,2.284,90.454,630,0.336,0.19249,0.24175,77.394,2,2.799340549
